rank,name,inst,vote,old,recent,no_files
490,Sébastien Villemot,22208,10,36,13,22149
491,Oath Toolkit Team,22155,1276,1979,287,18613
492,Ghe Rivero,22078,3223,17716,1132,7
493,Xfs Development Team,22061,5167,14831,2056,7
494,Lourisvaldo Figueredo Junior,21949,797,17676,3465,11
495,Bastian Blank,21780,4935,15632,1203,10
496,Scott Howard,21661,987,880,74,19720
497,Guillaume Pernot,21581,660,18451,2454,16
498,Debian Kolab Maintainers,21446,11,4,0,21431
499,Debian Astronomy Team,21428,2836,13508,1389,3695
500,Joseph Nahmias,21272,1341,6409,293,13229
501,Otavio Salvador,21261,0,0,0,21261
502,Eric Sharkey,21178,1522,17772,1878,6
503,Bastien Roucariès,21137,1872,7377,1286,10602
504,Rémi Vanicat,21062,1284,17627,2136,15
505,Salvatore Bonaccorso,20840,2939,16177,1627,97
506,Debian Astro Team,20830,1352,12021,1596,5861
507,Gustavo Panizzo,20800,5895,5721,533,8651
508,Santiago García Mantiñán,20613,11237,8833,539,4
509,Jonathan Mccrohan,20521,10100,4745,817,4859
